record_id	key	name_code	col_lsid	database_full_name	rank	name	kingdom	phylum	classx	orderx	family	superfamily	genus	species	infraspecies	author	nameslist	namesjson	classification	authorityDetails	authority
7223011	animalia/species/ephemerella_verruca	ITS-101309	urn:lsid:catalogueoflife.org:taxon:ee98ac10-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	ephemerella	verruca		Allen and Edmunds, 1965	["ephemerella verruca"]	[{"source": "COL", "type": "accepted name", "name": "Ephemerella verruca", "language": "latin", "author": "Allen and Edmunds, 1965"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "Allen and Edmunds, 1965", "species": "verruca", "genus": "ephemerella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee98ac10-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223013	animalia/species/eurylophella_karelica	ITS-101325	urn:lsid:catalogueoflife.org:taxon:ee967f76-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	eurylophella	karelica		Tiensuu, 1935	["eurylophella karelica"]	[{"source": "COL", "type": "accepted name", "name": "Eurylophella karelica", "language": "latin", "author": "Tiensuu, 1935"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "Tiensuu, 1935", "species": "karelica", "genus": "eurylophella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee967f76-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223012	animalia/species/timpanoga_hecuba	ITS-101318	urn:lsid:catalogueoflife.org:taxon:ee99651a-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	timpanoga	hecuba		Eaton, 1884	["timpanoga hecuba", "ephemerella hecuba"]	[{"source": "COL", "type": "accepted name", "name": "Timpanoga hecuba", "language": "latin", "author": "Eaton, 1884"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella hecuba", "language": "latin", "author": "Eaton, 1884"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "Eaton, 1884", "species": "hecuba", "genus": "timpanoga", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee99651a-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223018	animalia/species/eurylophella_aestiva	ITS-101336	urn:lsid:catalogueoflife.org:taxon:ee987b1e-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	eurylophella	aestiva		McDunnough, 1931	["eurylophella aestiva", "ephemerella aestiva"]	[{"source": "COL", "type": "accepted name", "name": "Eurylophella aestiva", "language": "latin", "author": "McDunnough, 1931"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella aestiva", "language": "latin", "author": "McDunnough, 1931"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "McDunnough, 1931", "species": "aestiva", "genus": "eurylophella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee987b1e-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223017	animalia/species/eurylophella_bicolor	ITS-101334	urn:lsid:catalogueoflife.org:taxon:ef13bbc6-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	eurylophella	bicolor		Clemens, 1913	["eurylophella bicolor", "ephemerella bicolor"]	[{"source": "COL", "type": "accepted name", "name": "Eurylophella bicolor", "language": "latin", "author": "Clemens, 1913"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella bicolor", "language": "latin", "author": "Clemens, 1913"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "Clemens, 1913", "species": "bicolor", "genus": "eurylophella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ef13bbc6-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223019	animalia/species/attenella_attenuata	ITS-101340	urn:lsid:catalogueoflife.org:taxon:eee68124-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	attenella	attenuata		McDunnough, 1925	["attenella attenuata", "ephemerella hirsuta", "ephemerella attenuata"]	[{"source": "COL", "type": "accepted name", "name": "Attenella attenuata", "language": "latin", "author": "McDunnough, 1925"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella hirsuta", "language": "latin", "author": "Berner, 1946"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella attenuata", "language": "latin", "author": "McDunnough, 1925"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "McDunnough, 1925", "species": "attenuata", "genus": "attenella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:eee68124-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223020	animalia/species/attenella_margarita	ITS-101343	urn:lsid:catalogueoflife.org:taxon:decc8c8e-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	ephemerellidae	ephemerelloidea	attenella	margarita		Needham, 1927	["attenella margarita", "ephemerella margarita"]	[{"source": "COL", "type": "accepted name", "name": "Attenella margarita", "language": "latin", "author": "Needham, 1927"}, {"source": "COL", "type": "scientific name", "name": "Ephemerella margarita", "language": "latin", "author": "Needham, 1927"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "ephemerellidae", "author": "Needham, 1927", "species": "margarita", "genus": "attenella", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:decc8c8e-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223071	animalia/species/baetisca_carolina	ITS-101499	urn:lsid:catalogueoflife.org:taxon:244971c8-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetiscidae		baetisca	carolina		Traver, 1931	["baetisca carolina", "baetisca thomsenae"]	[{"source": "COL", "type": "accepted name", "name": "Baetisca carolina", "language": "latin", "author": "Traver, 1931"}, {"source": "COL", "type": "scientific name", "name": "Baetisca thomsenae", "language": "latin", "author": "Traver, 1937"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetiscidae", "author": "Traver, 1931", "species": "carolina", "genus": "baetisca", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:244971c8-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223070	animalia/species/baetisca_callosa	ITS-101498	urn:lsid:catalogueoflife.org:taxon:24496f02-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetiscidae		baetisca	callosa		Traver, 1931	["baetisca callosa"]	[{"source": "COL", "type": "accepted name", "name": "Baetisca callosa", "language": "latin", "author": "Traver, 1931"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetiscidae", "author": "Traver, 1931", "species": "callosa", "genus": "baetisca", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:24496f02-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223072	animalia/species/baetisca_columbiana	ITS-101501	urn:lsid:catalogueoflife.org:taxon:244974a2-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetiscidae		baetisca	columbiana		Edmunds, 1960	["baetisca columbiana"]	[{"source": "COL", "type": "accepted name", "name": "Baetisca columbiana", "language": "latin", "author": "Edmunds, 1960"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetiscidae", "author": "Edmunds, 1960", "species": "columbiana", "genus": "baetisca", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:244974a2-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
