record_id	key	name_code	col_lsid	database_full_name	rank	name	kingdom	phylum	classx	orderx	family	superfamily	genus	species	infraspecies	author	nameslist	namesjson	classification	authorityDetails	authority
6850404	animalia/species/taxidea_taxus	ITS-180565	urn:lsid:catalogueoflife.org:taxon:2462efcc-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	mustelidae		taxidea	taxus		Schreber, 1777	["tlalcoyote", "american badger", "taxidea taxus"]	[{"source": "COL", "type": "common name", "name": "Tlalcoyote", "language": "Spanish", "author": null}, {"source": "COL", "type": "common name", "name": "American Badger", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Taxidea taxus", "language": "latin", "author": "Schreber, 1777"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "mustelidae", "author": "Schreber, 1777", "species": "taxus", "genus": "taxidea", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462efcc-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850405	animalia/species/conepatus_leuconotus	ITS-180567	urn:lsid:catalogueoflife.org:taxon:2462f26a-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	mephitidae		conepatus	leuconotus		Lichtenstein, 1832	["zorrillo-narig\u00f3n occidental", "american hog-nosed skunk", "conepatus leuconotus"]	[{"source": "COL", "type": "common name", "name": "Zorrillo-narig\u00f3n occidental", "language": "Spanish", "author": null}, {"source": "COL", "type": "common name", "name": "American Hog-nosed Skunk", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Conepatus leuconotus", "language": "latin", "author": "Lichtenstein, 1832"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "mephitidae", "author": "Lichtenstein, 1832", "species": "leuconotus", "genus": "conepatus", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462f26a-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850406	animalia/species/spilogale_putorius	ITS-180570	urn:lsid:catalogueoflife.org:taxon:2462f512-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	mephitidae		spilogale	putorius		Linnaeus, 1758	["zorrillo-manchado com\u00fan", "eastern spotted skunk", "spilogale putorius"]	[{"source": "COL", "type": "common name", "name": "Zorrillo-manchado com\u00fan", "language": "Spanish", "author": null}, {"source": "COL", "type": "common name", "name": "Eastern Spotted Skunk", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Spilogale putorius", "language": "latin", "author": "Linnaeus, 1758"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "mephitidae", "author": "Linnaeus, 1758", "species": "putorius", "genus": "spilogale", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462f512-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850407	animalia/species/procyon_lotor	ITS-180575	urn:lsid:catalogueoflife.org:taxon:2462f7ba-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	procyonidae		procyon	lotor		Linnaeus, 1758	["raton laveur", "raccoon", "mapache com\u00fan", "common raccoon", "procyon lotor"]	[{"source": "COL", "type": "common name", "name": "raton laveur", "language": "French", "author": null}, {"source": "COL", "type": "common name", "name": "Raccoon", "language": "English", "author": null}, {"source": "COL", "type": "common name", "name": "Mapache com\u00fan", "language": "Spanish", "author": null}, {"source": "COL", "type": "common name", "name": "common raccoon", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Procyon lotor", "language": "latin", "author": "Linnaeus, 1758"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "procyonidae", "author": "Linnaeus, 1758", "species": "lotor", "genus": "procyon", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462f7ba-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850408	animalia/species/bassariscus_astutus	ITS-180577	urn:lsid:catalogueoflife.org:taxon:df154096-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	procyonidae		bassariscus	astutus		Lichtenstein, 1830	["ringtail", "cacomixtle norte\u00f1o", "bassariscus astutus"]	[{"source": "COL", "type": "common name", "name": "Ringtail", "language": "English", "author": null}, {"source": "COL", "type": "common name", "name": "Cacomixtle norte\u00f1o", "language": "Spanish", "author": null}, {"source": "COL", "type": "accepted name", "name": "Bassariscus astutus", "language": "latin", "author": "Lichtenstein, 1830"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "procyonidae", "author": "Lichtenstein, 1830", "species": "astutus", "genus": "bassariscus", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:df154096-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850409	animalia/species/nasua_nasua	ITS-180579	urn:lsid:catalogueoflife.org:taxon:2462fa62-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	procyonidae		nasua	nasua		Linnaeus, 1766	["south american coati", "nasua nasua"]	[{"source": "COL", "type": "common name", "name": "South American Coati", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Nasua nasua", "language": "latin", "author": "Linnaeus, 1766"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "procyonidae", "author": "Linnaeus, 1766", "species": "nasua", "genus": "nasua", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462fa62-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850410	animalia/species/lynx_rufus	ITS-180582	urn:lsid:catalogueoflife.org:taxon:df154410-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	felidae		lynx	rufus		Schreber, 1777	["lynx roux", "lince americano", "bobcat", "bobcat", "lynx rufus", "felis rufus"]	[{"source": "COL", "type": "common name", "name": "lynx roux", "language": "French", "author": null}, {"source": "COL", "type": "common name", "name": "Lince americano", "language": "Spanish", "author": null}, {"source": "COL", "type": "common name", "name": "Bobcat", "language": "English", "author": null}, {"source": "COL", "type": "common name", "name": "Bobcat", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Lynx rufus", "language": "latin", "author": "Schreber, 1777"}, {"source": "COL", "type": "scientific name", "name": "Felis rufus", "language": "latin", "author": "Schreber, 1777"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "felidae", "author": "Schreber, 1777", "species": "rufus", "genus": "lynx", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:df154410-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850411	animalia/species/lynx_lynx	ITS-180584	urn:lsid:catalogueoflife.org:taxon:415e4f37-52c2-102c-b3cd-957176fb88b9:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	felidae		lynx	lynx		Linnaeus, 1758	["eurasian lynx", "lynx lynx"]	[{"source": "COL", "type": "common name", "name": "Eurasian Lynx", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Lynx lynx", "language": "latin", "author": "Linnaeus, 1758"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "felidae", "author": "Linnaeus, 1758", "species": "lynx", "genus": "lynx", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:415e4f37-52c2-102c-b3cd-957176fb88b9:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850412	animalia/species/lynx_canadensis	ITS-180585	urn:lsid:catalogueoflife.org:taxon:2462ffbc-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	felidae		lynx	canadensis		Kerr, 1792	["lynx du canada", "lynx", "canadian lynx", "lynx canadensis"]	[{"source": "COL", "type": "common name", "name": "lynx du Canada", "language": "French", "author": null}, {"source": "COL", "type": "common name", "name": "lynx", "language": "English", "author": null}, {"source": "COL", "type": "common name", "name": "Canadian Lynx", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Lynx canadensis", "language": "latin", "author": "Kerr, 1792"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "felidae", "author": "Kerr, 1792", "species": "canadensis", "genus": "lynx", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2462ffbc-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
6850413	animalia/species/felis_silvestris	ITS-180589	urn:lsid:catalogueoflife.org:taxon:2463028c-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	mammalia	carnivora	felidae		felis	silvestris		Schreber, 1777	["wildcat", "felis silvestris"]	[{"source": "COL", "type": "common name", "name": "Wildcat", "language": "English", "author": null}, {"source": "COL", "type": "accepted name", "name": "Felis silvestris", "language": "latin", "author": "Schreber, 1777"}]	{"kingdom": "animalia", "infraspecies": null, "superfamily": null, "phylum": "chordata", "family": "felidae", "author": "Schreber, 1777", "species": "silvestris", "genus": "felis", "class": "mammalia", "order": "carnivora"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2463028c-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
